source,n_events,n_lines,epochs,train_time_min,total_time_min,wasserstein_logE,coupling_residual,save_dir
Torio,8847918,4,40,55.0,57.1,0.00556,0.02735,/content/drive/MyDrive/MAGI_data/trained_models/v0_8_2_Torio_colab_gpu
Radio,1392031,2,40,9.9,10.5,0.01035,0.03658,/content/drive/MyDrive/MAGI_data/trained_models/v0_8_2_Radio_colab_gpu
